1.0,0.189,0.201,0.112,0.106,0.035,0.053,0.005,-0.018,-0.03,-0.018,-0.042,-0.03,-0.042,-0.036,-0.042,-0.042
1.0,0.084,0.096,0.104,0.091,0.076,0.052,0.04,0.038,0.03,0.032,-0.02,0.004,0.008,-0.031,-0.016,-0.024
1.0,0.146,0.143,0.134,0.101,0.121,0.085,0.076,0.091,0.058,0.014,0.021,0.004,-0.013,0.001,-0.046,-0.03
1.0,0.15,0.137,0.153,0.147,0.13,0.11,0.095,0.082,0.077,0.042,0.032,0.016,0.016,-0.018,-0.032,-0.023
1.0,0.134,0.159,0.145,0.118,0.129,0.084,0.079,0.079,0.076,0.046,0.032,-0.0,0.005,-0.005,-0.036,-0.052
1.0,0.135,0.145,0.141,0.119,0.114,0.082,0.074,0.079,0.063,0.048,0.026,0.028,-0.011,-0.032,-0.032,-0.053
1.0,0.131,0.124,0.131,0.107,0.096,0.081,0.091,0.07,0.032,0.015,0.041,0.023,-0.01,-0.012,-0.014,-0.036
1.0,0.146,0.123,0.084,0.098,0.08,0.083,0.074,0.046,0.036,0.022,0.026,0.026,-0.014,-0.02,-0.034,-0.035
1.0,0.102,0.092,0.086,0.075,0.077,0.043,0.059,0.071,0.041,0.028,0.017,0.027,0.022,-0.009,-0.024,-0.037
1.0,0.077,0.058,0.066,0.071,0.066,0.039,0.024,0.069,0.041,0.028,0.009,0.003,-0.004,-0.019,-0.0,-0.018
1.0,0.111,0.077,0.086,0.068,0.047,0.058,0.021,0.046,0.036,0.018,0.022,0.033,0.019,0.01,-0.006,-0.021
1.0,0.021,0.038,0.037,0.045,0.025,0.042,0.0,0.007,0.015,0.017,0.01,0.027,-0.002,-0.003,0.005,0.024
1.0,0.043,-0.002,0.007,0.018,0.03,0.014,0.025,-0.004,-0.006,0.001,-0.01,0.023,0.015,0.002,-0.013,0.013
1.0,0.031,0.006,0.013,-0.021,0.019,0.056,-0.015,0.005,-0.02,0.004,0.007,0.007,0.006,-0.014,0.02,0.029
1.0,-0.021,-0.005,0.029,-0.011,0.001,0.009,0.016,0.0,-0.007,-0.026,0.009,0.031,0.016,0.003,0.023,-0.002
1.0,0.018,0.014,0.005,0.019,0.003,0.02,0.008,0.03,0.012,0.024,-0.011,-0.004,0.0,-0.005,-0.019,-0.005
1.0,0.01,0.036,0.04,0.017,0.016,0.01,0.025,0.02,0.001,0.004,-0.001,0.001,0.003,0.002,0.015,-0.041
1.0,0.055,0.054,0.042,0.032,0.025,0.024,0.04,0.004,0.04,0.024,-0.008,-0.023,0.002,0.009,-0.021,-0.02
1.0,0.067,0.044,0.052,0.05,0.035,0.059,0.004,0.042,0.02,0.004,0.01,0.027,-0.015,-0.003,0.005,-0.004
1.0,0.052,0.052,0.055,0.07,0.046,0.072,0.053,0.042,0.037,0.008,0.014,0.019,0.001,-0.003,0.017,-0.012
1.0,0.08,0.065,0.059,0.058,0.059,0.065,0.044,0.039,0.051,0.027,0.007,0.009,0.002,0.023,0.008,-0.023
